product_id,brand,title,description,category,subcategory,gender,color,material,fit,sleeve,pattern,price,health_score,health_classification,attribute_completeness_score,title_quality_score,description_quality_score,category_consistency_score,missing_attributes,quality_issues
PROD_001,Manyavar,Manyavar Men's Black Pure Cotton Kurta,"Elevate your wardrobe with this black kurtas from Manyavar. Crafted from premium linen fabric offering superior comfort and durability. Features printed design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Black,Linen,,Half Sleeve,Printed,799.0,95.42,Excellent,91.67,95.0,100.0,100.0,"[""fit""]","[""Missing required attributes: fit""]"
PROD_002,Manyavar,Men's Kurtas,"Elevate your wardrobe with this grey kurtas from Manyavar. Crafted from premium viscose fabric offering superior comfort and durability. Features solid design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Grey,Viscose,Regular,Full Sleeve,Solid,1299.0,87.5,Excellent,100.0,50.0,100.0,100.0,[],"[""Title is too brief (< 20 characters)"", ""Brand 'manyavar' not found in title"", ""Title lacks key descriptive modifiers (color, fit, or material)""]"
PROD_003,Libas,Libas Men's Black Pure Cotton Kurta,Nice kurtas for daily wear.,Kurtas,Ethnic Kurta,Men,Black,Rayon,,Long Sleeve,Printed,2999.0,79.42,Good,91.67,95.0,20.0,100.0,"[""fit""]","[""Missing required attributes: fit"", ""Description is missing or critically inadequate (< 30 characters)"", ""Description does not specify fabric / material details""]"
PROD_004,Taavi,Taavi Men's Navy Viscose Solid Kurtas,"Elevate your wardrobe with this navy kurtas from Taavi. Crafted from premium viscose fabric offering superior comfort and durability. Features solid design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Navy,Viscose,Skinny,Sleeveless,Solid,1299.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
PROD_005,Taavi,Taavi Men's Black Pure Cotton Kurta,"Elevate your wardrobe with this green kurtas from Taavi. Crafted from premium linen fabric offering superior comfort and durability. Features striped design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Black,Linen,,Half Sleeve,Striped,799.0,95.42,Excellent,91.67,95.0,100.0,100.0,"[""fit""]","[""Missing required attributes: fit""]"
PROD_006,Manyavar,Manyavar Men's Yellow Cotton Checked Kurtas,"Elevate your wardrobe with this yellow kurtas from Manyavar. Crafted from premium cotton fabric offering superior comfort and durability. Features checked design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Yellow,Cotton,Oversized,Sleeveless,Checked,1599.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
PROD_007,FabIndia,FabIndia Men's Black Pure Cotton Kurta,"Elevate your wardrobe with this maroon kurtas from FabIndia. Crafted from premium viscose fabric offering superior comfort and durability. Features floral design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Black,Viscose,,Full Sleeve,Floral,799.0,95.42,Excellent,91.67,95.0,100.0,100.0,"[""fit""]","[""Missing required attributes: fit""]"
PROD_008,W,W Men's Brown Rayon Checked Kurtas,"Elevate your wardrobe with this brown kurtas from W. Crafted from premium rayon fabric offering superior comfort and durability. Features checked design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Brown,Rayon,Straight,Sleeveless,Checked,1299.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
PROD_009,Manyavar,Manyavar Men's Black Pure Cotton Kurta,"Elevate your wardrobe with this black kurtas from Manyavar. Crafted from premium silk fabric offering superior comfort and durability. Features solid design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Black,Silk,,Sleeveless,Solid,1299.0,95.42,Excellent,91.67,95.0,100.0,100.0,"[""fit""]","[""Missing required attributes: fit""]"
PROD_010,Manyavar,Manyavar Men's Yellow Linen Printed Kurtas,"Elevate your wardrobe with this yellow kurtas from Manyavar. Crafted from premium linen fabric offering superior comfort and durability. Features printed design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Yellow,Linen,Relaxed,Sleeveless,Printed,1599.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
PROD_011,House of Pataudi,House of Pataudi Men's Black Pure Cotton Kurta,"Elevate your wardrobe with this navy kurtas from House of Pataudi. Crafted from premium linen fabric offering superior comfort and durability. Features checked design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Black,Linen,,Full Sleeve,Checked,1299.0,95.42,Excellent,91.67,95.0,100.0,100.0,"[""fit""]","[""Missing required attributes: fit""]"
PROD_012,Libas,Libas Men's Blue Viscose Embroidered Kurtas,"Elevate your wardrobe with this blue kurtas from Libas. Crafted from premium viscose fabric offering superior comfort and durability. Features embroidered design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Blue,Viscose,Relaxed,Sleeveless,Embroidered,2999.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
PROD_013,Libas,Libas Men's Brown Linen Printed Kurtas,"Elevate your wardrobe with this brown kurtas from Libas. Crafted from premium linen fabric offering superior comfort and durability. Features printed design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Brown,Linen,Straight,Full Sleeve,Printed,799.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
PROD_014,House of Pataudi,House of Pataudi Men's Yellow Linen Checked Kurtas,"Elevate your wardrobe with this yellow kurtas from House of Pataudi. Crafted from premium linen fabric offering superior comfort and durability. Features checked design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Yellow,Linen,Regular,Half Sleeve,Checked,1599.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
PROD_015,Libas,Libas Men's Brown Viscose Printed Kurtas,"Elevate your wardrobe with this brown kurtas from Libas. Crafted from premium viscose fabric offering superior comfort and durability. Features printed design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Brown,Viscose,Relaxed,Short Sleeve,Printed,1599.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
PROD_016,Anouk,Anouk Men's Navy Rayon Embroidered Kurtas,"Elevate your wardrobe with this navy kurtas from Anouk. Crafted from premium rayon fabric offering superior comfort and durability. Features embroidered design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Navy,Rayon,Skinny,Sleeveless,Embroidered,2999.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
PROD_017,Taavi,Taavi Men's Grey Viscose Printed Kurtas,"Elevate your wardrobe with this grey kurtas from Taavi. Crafted from premium viscose fabric offering superior comfort and durability. Features printed design, suitable for casual outings and daily wear. Wash care: Machine wash cold with similar colors.",Kurtas,Ethnic Kurta,Men,Grey,Viscose,Oversized,Half Sleeve,Printed,2999.0,100.0,Excellent,100.0,100.0,100.0,100.0,[],[]
